time_stamp, motor, fan, vibrations, temperature, temperature_pir, predicted_time
1633503339, 0, 0, 4.7, 30.06, 21.0, 343
1633503340, 0, 0, 3.215, 30.06, 21.0, 342
1633503341, 0, 0, 1.73, 30.06, 21.0, 341
1633503342, 1.0, 0.0, 3.505, 30.09, 21.0, 340
1633503343, 1.0, 0.0, 5.28, 30.12, 21.0, 339
1633503344, 1.0, 0.0, 4.175, 30.12, 21.0, 338
1633503345, 1.0, 0.0, 3.07, 30.12, 21.0, 337
1633503346, 1.0, 0.0, 2.6399999999999997, 30.12, 21.0, 336
1633503347, 1.0, 0.0, 2.21, 30.155, 21.0, 335
1633503348, 1.0, 0.0, 4.32, 30.19, 21.0, 334
1633503349, 1.0, 0.0, 6.43, 30.19, 21.0, 333
1633503350, 1.0, 0.0, 8.54, 30.19, 21.0, 332
1633503351, 1.0, 0.0, 6.1899999999999995, 30.19, 21.0, 331
1633503352, 1.0, 0.0, 3.84, 30.19, 21.0, 330
1633503353, 1.0, 0.0, 3.2649999999999997, 30.25, 21.0, 329
1633503354, 1.0, 0.0, 2.69, 30.31, 21.0, 328
1633503355, 1.0, 0.0, 2.21, 30.31, 21.0, 327
1633503356, 1.0, 0.0, 1.73, 30.31, 21.0, 326
1633503357, 1.0, 0.0, 1.44, 30.345, 21.0, 325
1633503358, 1.0, 0.0, 1.15, 30.38, 21.0, 324
1633503359, 1.0, 0.0, 2.0149999999999997, 30.38, 21.0, 323
1633503360, 1.0, 0.0, 2.88, 30.38, 21.0, 322
1633503361, 1.0, 0.0, 1.97, 30.38, 21.0, 321
1633503362, 1.0, 0.0, 1.06, 30.38, 21.0, 320
1633503363, 1.0, 0.0, 2.16, 30.41, 21.0, 319
1633503364, 1.0, 0.0, 3.26, 30.44, 21.0, 318
1633503365, 1.0, 0.0, 2.83, 30.44, 21.0, 317
1633503366, 1.0, 0.0, 2.4, 30.44, 21.0, 316
1633503367, 1.0, 0.0, 2.9299999999999997, 30.47, 21.0, 315
1633503368, 1.0, 0.0, 3.46, 30.5, 21.0, 314
1633503369, 1.0, 0.0, 3.985, 30.5, 21.0, 313
1633503370, 1.0, 0.0, 4.51, 30.5, 21.0, 312
1633503371, 1.0, 0.0, 4.32, 30.5, 21.0, 311
1633503372, 1.0, 0.0, 4.13, 30.5, 21.0, 310
1633503373, 1.0, 0.0, 4.465, 30.53, 21.0, 309
1633503374, 1.0, 0.0, 4.8, 30.56, 21.0, 308
1633503375, 1.0, 0.0, 6.29, 30.56, 21.0, 307
1633503376, 1.0, 0.0, 7.78, 30.56, 21.0, 306
1633503377, 1.0, 0.0, 6.675000000000001, 30.625, 21.0, 305
1633503378, 1.0, 0.0, 5.57, 30.69, 21.0, 304
1633503379, 1.0, 0.0, 4.37, 30.69, 21.0, 303
1633503380, 1.0, 0.0, 3.17, 30.69, 21.0, 302
1633503381, 1.0, 0.0, 6.095, 30.69, 21.0, 301
1633503382, 1.0, 0.0, 9.02, 30.69, 21.0, 300
1633503383, 1.0, 0.0, 6.4799999999999995, 30.72, 21.0, 299
1633503384, 1.0, 0.0, 3.94, 30.75, 21.0, 298
1633503385, 1.0, 0.0, 4.18, 30.75, 21.0, 297
1633503386, 1.0, 0.0, 4.42, 30.75, 21.0, 296
1633503387, 1.0, 0.0, 4.42, 30.75, 21.0, 295
1633503388, 1.0, 0.0, 4.42, 30.78, 21.0, 294
1633503389, 1.0, 0.0, 4.066666666666666, 30.81, 21.0, 293
1633503390, 1.0, 0.0, 3.7133333333333334, 30.81, 21.0, 292
1633503391, 1.0, 0.0, 3.36, 30.81, 21.0, 291
1633503392, 1.0, 0.0, 4.03, 30.81, 21.0, 290
1633503393, 1.0, 0.0, 4.7, 30.81, 21.0, 289
1633503394, 1.0, 0.0, 4.655, 30.875, 21.0, 288
1633503395, 1.0, 0.0, 4.61, 30.94, 21.0, 287
1633503396, 1.0, 0.0, 4.61, 30.94, 21.0, 286
1633503397, 1.0, 0.0, 4.61, 30.94, 21.0, 285
1633503398, 1.0, 0.0, 4.08, 30.97, 21.0, 284
1633503399, 1.0, 0.0, 3.55, 31.0, 21.0, 283
1633503400, 1.0, 0.0, 4.945, 31.0, 21.0, 282
1633503401, 1.0, 0.0, 6.34, 31.0, 21.0, 281
1633503402, 1.0, 0.0, 6.4350000000000005, 31.0, 21.0, 280
1633503403, 1.0, 0.0, 6.53, 31.0, 21.0, 279
1633503404, 1.0, 0.0, 5.04, 31.03, 21.0, 278
1633503405, 1.0, 0.0, 3.55, 31.06, 21.0, 277
1633503406, 1.0, 0.0, 12.239999999999998, 31.06, 21.0, 276
1633503407, 5.0, 0.0, 20.93, 31.06, 21.0, 275
1633503408, 5.0, 0.0, 26.785, 31.125, 21.0, 274
1633503409, 5.0, 0.0, 32.64, 31.19, 21.0, 273
1633503410, 5.0, 0.0, 32.35, 31.19, 21.0, 272
1633503411, 5.0, 0.0, 32.06, 31.19, 21.0, 271
1633503412, 5.0, 0.0, 30.48, 31.19, 21.0, 270
1633503413, 5.0, 0.0, 28.9, 31.19, 21.0, 269
1633503414, 5.0, 0.0, 27.22, 31.22, 21.0, 268
1633503415, 5.0, 0.0, 25.54, 31.25, 21.0, 267
1633503416, 5.0, 0.0, 25.585, 31.25, 21.0, 266
1633503417, 5.0, 0.0, 25.63, 31.25, 21.0, 265
1633503418, 5.0, 0.0, 27.265, 31.28, 21.0, 264
1633503419, 5.0, 0.0, 28.9, 31.31, 21.0, 263
1633503420, 5.0, 0.0, 24.58, 31.31, 21.0, 262
1633503421, 5.0, 0.0, 20.26, 31.31, 21.0, 261
1633503422, 5.0, 0.0, 31.634999999999998, 31.31, 21.0, 260
1633503423, 5.0, 0.0, 43.01, 31.31, 21.0, 259
1633503424, 5.0, 0.0, 30.29, 31.333333333333332, 21.0, 258
1633503425, 5.0, 0.0, 17.57, 31.356666666666666, 21.0, 257
1633503426, 5.0, 0.0, 16.175, 31.38, 21.0, 256
1633503427, 5.0, 0.0, 14.78, 31.38, 21.0, 255
1633503428, 5.0, 0.0, 12.094999999999999, 31.38, 21.0, 254
1633503429, 5.0, 0.0, 9.41, 31.41, 21.0, 253
1633503430, 5.0, 0.0, 10.4, 31.44, 21.0, 252
1633503431, 5.0, 0.0, 11.39, 31.44, 21.0, 251
1633503432, 5.0, 0.0, 12.38, 31.44, 21.0, 250
1633503433, 5.0, 0.0, 34.51, 31.44, 21.0, 249
1633503434, 5.0, 0.0, 56.64, 31.44, 21.0, 248
1633503435, 5.0, 0.0, 49.25, 31.5, 21.0, 247
1633503436, 5.0, 0.0, 41.86, 31.56, 21.0, 246
1633503437, 5.0, 0.0, 33.12, 31.56, 21.0, 245
1633503438, 5.0, 0.0, 24.38, 31.56, 21.0, 244
1633503439, 5.0, 0.0, 21.119999999999997, 31.59, 21.0, 243
1633503440, 5.0, 0.0, 17.86, 31.62, 21.0, 242
1633503441, 5.0, 0.0, 26.64, 31.62, 21.0, 241
1633503442, 5.0, 0.0, 35.42, 31.62, 21.0, 240
1633503443, 5.0, 0.0, 27.36, 31.62, 21.0, 239
1633503444, 5.0, 0.0, 19.3, 31.62, 21.0, 238
1633503445, 5.0, 0.0, 25.68, 31.655, 21.0, 237
1633503446, 5.0, 0.0, 32.06, 31.69, 21.0, 236
1633503447, 5.0, 0.0, 29.805, 31.69, 21.0, 235
1633503448, 5.0, 0.0, 27.55, 31.69, 21.0, 234
1633503449, 5.0, 0.0, 30.0, 31.75, 21.0, 233
1633503450, 5.0, 0.0, 32.45, 31.81, 21.0, 232
1633503451, 5.0, 0.0, 42.815, 31.81, 21.0, 231
1633503452, 5.0, 0.0, 53.18, 31.81, 21.0, 230
1633503453, 5.0, 0.0, 40.94, 31.81, 21.0, 229
1633503454, 5.0, 0.0, 28.7, 31.81, 21.0, 228
1633503455, 5.0, 0.0, 25.775, 31.845, 21.0, 227
1633503456, 5.0, 0.0, 22.85, 31.88, 21.0, 226
1633503457, 5.0, 0.0, 24.53, 31.88, 21.0, 225
1633503458, 5.0, 0.0, 26.21, 31.88, 21.0, 224
1633503459, 5.0, 0.0, 27.745, 31.91, 21.0, 223
1633503460, 5.0, 0.0, 29.28, 31.94, 21.0, 222
1633503461, 5.0, 0.0, 28.990000000000002, 31.94, 21.0, 221
1633503462, 5.0, 0.0, 28.7, 31.94, 21.0, 220
1633503463, 5.0, 0.0, 24.96, 31.94, 21.0, 219
1633503464, 5.0, 0.0, 21.22, 31.94, 21.0, 218
1633503465, 5.0, 0.0, 24.384999999999998, 31.96, 21.0, 217
1633503466, 5.0, 0.0, 27.55, 31.98, 21.0, 216
1633503467, 5.0, 0.0, 28.845, 32.0, 21.0, 215
1633503468, 5.0, 0.0, 30.14, 32.0, 21.0, 214
1633503469, 5.0, 0.0, 35.26, 32.0, 21.0, 213
1633503470, 5.0, 0.0, 40.38, 32.03, 21.0, 212
1633503471, 5.0, 0.0, 45.5, 32.06, 21.0, 211
1633503472, 5.0, 0.0, 34.7, 32.06, 21.0, 210
1633503473, 5.0, 0.0, 23.9, 32.06, 21.0, 209
1633503474, 5.0, 0.0, 27.74, 32.06, 21.0, 208
1633503475, 5.0, 0.0, 31.58, 32.06, 21.0, 207
1633503476, 5.0, 0.0, 26.4, 32.125, 21.0, 206
1633503477, 5.0, 0.0, 21.22, 32.19, 21.0, 205
1633503478, 5.0, 0.0, 22.994999999999997, 32.19, 21.0, 204
1633503479, 5.0, 0.0, 24.77, 32.19, 21.0, 203
1633503480, 5.0, 0.0, 47.040000000000006, 32.22, 21.0, 202
1633503481, 5.0, 0.0, 69.31, 32.25, 21.0, 201
1633503482, 5.0, 0.0, 52.125, 32.25, 21.0, 200
1633503483, 5.0, 0.0, 34.94, 32.25, 21.0, 199
1633503484, 5.0, 0.0, 28.03, 32.25, 21.0, 198
1633503485, 5.0, 0.0, 21.12, 32.25, 21.0, 197
1633503486, 5.0, 0.0, 28.799999999999997, 32.28, 21.0, 196
1633503487, 5.0, 0.0, 36.48, 32.31, 21.0, 195
1633503488, 5.0, 0.0, 30.479999999999997, 32.31, 21.0, 194
1633503489, 5.0, 0.0, 24.48, 32.31, 21.0, 193
1633503490, 5.0, 0.0, 22.465, 32.345, 21.0, 192
1633503491, 5.0, 0.0, 20.45, 32.38, 21.0, 191
1633503492, 5.0, 0.0, 23.905, 32.38, 21.0, 190
1633503493, 5.0, 0.0, 27.36, 32.38, 21.0, 189
1633503494, 5.0, 0.0, 29.015, 32.395, 21.0, 188
1633503495, 5.0, 0.0, 30.669999999999998, 32.41, 21.0, 187
1633503496, 5.0, 0.0, 32.324999999999996, 32.425, 21.0, 186
1633503497, 5.0, 0.0, 33.98, 32.44, 21.0, 185
1633503498, 5.0, 0.0, 27.31, 32.44, 21.0, 184
1633503499, 5.0, 0.0, 20.64, 32.44, 21.0, 183
1633503500, 5.0, 0.0, 20.83, 32.5, 21.0, 182
1633503501, 5.0, 0.0, 21.02, 32.56, 21.0, 181
1633503502, 5.0, 0.0, 18.91, 32.56, 21.0, 180
1633503503, 5.0, 0.0, 16.8, 32.56, 21.0, 179
1633503504, 5.0, 0.0, 31.825000000000003, 32.56, 21.0, 178
1633503505, 5.0, 0.0, 46.85, 32.56, 21.0, 177
1633503506, 5.0, 0.0, 35.28, 32.56, 21.0, 176
1633503507, 5.0, 0.0, 23.71, 32.59, 21.0, 175
1633503508, 5.0, 0.0, 30.43, 32.62, 21.0, 174
1633503509, 5.0, 0.0, 37.15, 32.62, 21.0, 173
1633503510, 5.0, 0.0, 32.60666666666667, 32.62, 21.0, 172
1633503511, 5.0, 0.0, 28.063333333333333, 32.655, 21.0, 171
1633503512, 5.0, 0.0, 23.52, 32.69, 21.0, 170
1633503513, 5.0, 0.0, 23.759999999999998, 32.69, 21.0, 169
1633503514, 5.0, 0.0, 24.0, 32.69, 21.0, 168
1633503515, 5.0, 0.0, 37.730000000000004, 32.69, 21.0, 167
1633503516, 5.0, 0.0, 51.46, 32.69, 21.0, 166
1633503517, 5.0, 0.0, 39.36, 32.72, 21.0, 165
1633503518, 5.0, 0.0, 27.26, 32.75, 21.0, 164
1633503519, 5.0, 0.0, 25.92, 32.75, 21.0, 163
1633503520, 5.0, 0.0, 24.58, 32.75, 21.0, 162
1633503521, 5.0, 0.0, 25.78, 32.815, 21.0, 161
1633503522, 5.0, 0.0, 26.98, 32.88, 21.0, 160
1633503523, 5.0, 0.0, 28.42, 32.88, 21.0, 159
1633503524, 5.0, 0.0, 29.86, 32.88, 21.0, 158
1633503525, 5.0, 0.0, 20.785, 32.88, 21.0, 157
1633503526, 5.0, 0.0, 11.71, 32.88, 21.0, 156
1633503527, 5.0, 0.0, 15.985000000000001, 32.91, 21.0, 155
