time_stamp, motor, fan, vibrations, temperature, temperature_pir, predicted_time
1627978757.0, 0, 0, 13.345, 34.81, 19.88, 39.0
1627978758.0, 0, 0, 0.48, 34.78, 19.88, 38.0
1627978759.0, 0, 0, 0.53, 34.75, 19.88, 37.0
1627978760.0, 0, 0, 0.58, 34.75, 19.88, 36.0
1627978761.0, 0, 0.0, 0.5466666666666666, 34.75, 19.88, 35.0
1627978762.0, 0, 0.0, 0.5133333333333333, 34.72, 19.88, 34.0
1627978763.0, 0, 0.0, 0.48, 34.69, 19.88, 33.0
1627978764.0, 0, 0.0, 0.48, 34.69, 19.88, 32.0
1627978765.0, 0, 0.0, 0.48, 34.69, 19.88, 31.0
1627978766.0, 0, 0.0, 0.29, 34.69, 19.88, 30.0
1627978767.0, 0, 0.0, 0.1, 34.69, 19.88, 29.0
1627978768.0, 0, 0.0, 0.33999999999999997, 34.72, 19.88, 28.0
1627978769.0, 0, 0.0, 0.58, 34.75, 19.88, 27.0
1627978770.0, 0, 0.0, 0.48, 34.75, 19.88, 26.0
1627978771.0, 0, 0.0, 0.38, 34.75, 19.88, 25.0
1627978772.0, 0, 0.0, 0.43, 34.78, 19.88, 24.0
1627978773.0, 0, 0.0, 0.48, 34.81, 19.88, 23.0
1627978774.0, 0.0, 0.0, 0.43, 34.81, 19.88, 22.0
1627978775.0, 0.0, 0.0, 0.38, 34.81, 19.88, 21.0
1627978776.0, 0.0, 0.0, 0.38, 34.81, 19.88, 20.0
1627978777.0, 0.0, 0.0, 0.38, 34.81, 19.88, 19.0
1627978778.0, 0.0, 0.0, 0.38, 34.845, 19.88, 18.0
1627978779.0, 0.0, 0.0, 0.38, 34.88, 19.88, 17.0
1627978780.0, 0.0, 0.0, 0.38, 34.88, 19.88, 16.0
1627978781.0, 0.0, 0.0, 0.38, 34.88, 19.88, 15.0
1627978782.0, 0.0, 0.0, 0.48, 34.91, 19.88, 14.0
1627978783.0, 0.0, 0.0, 0.58, 34.94, 19.88, 13.0
1627978784.0, 0.0, 0.0, 0.48, 34.94, 19.88, 12.0
1627978785.0, 0.0, 0.0, 0.38, 34.94, 19.88, 11.0
1627978786.0, 1.0, 0.0, 0.91, 34.94, 19.88, 10.0
1627978787.0, 1.0, 0.0, 1.44, 34.94, 19.88, 9.0
1627978788.0, 1.0, 0.0, 1.63, 35.0, 19.88, 8.0
1627978789.0, 1.0, 0.0, 1.82, 35.0, 19.88, 7.0
1627978790.0, 1.0, 0.0, 1.6800000000000002, 35.0, 19.88, 6.0
1627978791.0, 1.0, 0.0, 1.54, 35.0, 19.88, 5.0
1627978792.0, 1.0, 0.0, 1.825, 35.03, 19.88, 4.0
1627978793.0, 1.0, 0.0, 2.11, 35.06, 19.88, 3.0
1627978794.0, 1.0, 0.0, 2.785, 35.06, 19.88, 2.0
1627978795.0, 1.0, 0.0, 3.46, 35.06, 19.88, 1.0
1627978796.0, 1.0, 1.0, 4.755, 35.08, 19.88, 0.0
1627978797.0, 1.0, 1.0, 6.05, 35.1, 19.88, 49.0
1627978798.0, 1.0, 1.0, 4.465, 35.12, 19.88, 48.0
1627978799.0, 1.0, 1.0, 2.88, 35.12, 19.88, 47.0
1627978800.0, 1.0, 1.0, 2.5933333333333333, 35.12, 19.88, 46.0
1627978801.0, 1.0, 1.0, 2.3066666666666666, 35.12, 19.88, 45.0
1627978802.0, 1.0, 1.0, 2.02, 35.12, 19.88, 44.0
1627978803.0, 1.0, 1.0, 2.26, 35.12, 19.88, 43.0
1627978804.0, 1.0, 1.0, 2.5, 35.12, 19.88, 42.0
1627978805.0, 1.0, 1.0, 2.16, 35.12, 19.88, 41.0
1627978806.0, 1.0, 1.0, 1.82, 35.12, 19.88, 40.0
1627978807.0, 1.0, 1.0, 6.96, 35.12, 19.88, 39.0
1627978808.0, 1.0, 1.0, 12.1, 35.12, 19.88, 38.0
1627978809.0, 1.0, 1.0, 7.154999999999999, 35.06, 19.88, 37.0
1627978810.0, 1.0, 1.0, 2.21, 35.06, 19.88, 36.0
1627978811.0, 1.0, 1.0, 3.555, 35.06, 19.88, 35.0
1627978812.0, 1.0, 1.0, 4.9, 35.06, 19.88, 34.0
1627978813.0, 1.0, 1.0, 4.225, 34.97, 19.88, 33.0
1627978814.0, 1.0, 1.0, 3.55, 34.88, 19.88, 32.0
1627978815.0, 1.0, 1.0, 5.1850000000000005, 34.88, 19.88, 31.0
1627978816.0, 1.0, 1.0, 6.82, 34.88, 19.88, 30.0
1627978817.0, 1.0, 1.0, 6.625, 34.88, 19.88, 29.0
1627978818.0, 1.0, 1.0, 6.43, 34.88, 19.88, 28.0
1627978819.0, 1.0, 1.0, 5.375, 34.785, 19.88, 27.0
1627978820.0, 1.0, 1.0, 4.32, 34.69, 19.88, 26.0
1627978821.0, 1.0, 1.0, 3.31, 34.69, 19.88, 25.0
1627978822.0, 1.0, 1.0, 2.3, 34.69, 19.88, 24.0
1627978823.0, 1.0, 1.0, 4.5600000000000005, 34.625, 19.88, 23.0
1627978824.0, 1.0, 1.0, 6.82, 34.56, 19.88, 22.0
1627978825.0, 1.0, 1.0, 6.53, 34.56, 19.88, 21.0
1627978826.0, 1.0, 1.0, 6.24, 34.56, 19.88, 20.0
1627978827.0, 1.0, 1.0, 5.09, 34.56, 19.88, 19.0
1627978828.0, 1.0, 1.0, 3.94, 34.56, 19.88, 18.0
1627978829.0, 1.0, 1.0, 5.28, 34.47, 19.88, 17.0
1627978830.0, 1.0, 1.0, 6.62, 34.38, 19.88, 16.0
1627978831.0, 1.0, 1.0, 5.805, 34.38, 19.88, 15.0
1627978832.0, 1.0, 1.0, 4.99, 34.38, 19.88, 14.0
1627978833.0, 1.0, 1.0, 6.765, 34.285, 19.88, 13.0
1627978834.0, 1.0, 1.0, 8.54, 34.19, 19.88, 12.0
1627978835.0, 1.0, 1.0, 5.2299999999999995, 34.19, 19.88, 11.0
1627978836.0, 1.0, 1.0, 1.92, 34.19, 19.88, 10.0
1627978837.0, 1.0, 1.0, 3.12, 34.19, 19.88, 9.0
1627978838.0, 1.0, 1.0, 4.32, 34.19, 19.88, 8.0
1627978839.0, 1.0, 1.0, 2.6900000000000004, 34.19, 19.88, 7.0
1627978840.0, 1.0, 1.0, 1.06, 34.095, 19.88, 6.0
1627978841.0, 1.0, 1.0, 2.34, 34.0, 19.88, 5.0
1627978842.0, 1.0, 1.0, 3.62, 34.0, 19.88, 4.0
1627978843.0, 1.0, 1.0, 4.9, 34.0, 19.88, 3.0
1627978844.0, 1.0, 1.0, 3.22, 33.94, 19.88, 2.0
1627978845.0, 1.0, 1.0, 1.54, 33.88, 19.88, 1.0
