time_stamp, motor, fan, vibrations, temperature, temperature_pir, predicted_time
1642671197, 0, 0, 0.25, 45.12, -100.0, 104
1642671198, 0, 0, 0.254, 45.134, -100.0, 103
1642671199, 0, 0, 0.258, 45.147999999999996, -100.0, 102
1642671200, 0, 0, 0.262, 45.162, -100.0, 101
1642671201, 0, 0, 0.266, 45.175999999999995, -100.0, 100
1642671202, 0, 0, 0.27, 45.19, -100.0, 99
1642671203, 0, 0, 0.264, 45.202, -100.0, 98
1642671204, 0, 0, 0.258, 45.214, -100.0, 97
1642671205, 0, 0, 0.252, 45.226, -100.0, 96
1642671206, 0, 0, 0.246, 45.238, -100.0, 95
1642671207, 0, 0, 0.24, 45.25, -100.0, 94
1642671208, 0, 0, 0.272, 45.256, -100.0, 93
1642671209, 0, 0, 0.304, 45.262, -100.0, 92
1642671210, 0, 0, 0.336, 45.268, -100.0, 91
1642671211, 0, 0, 0.368, 45.274, -100.0, 90
1642671212, 0, 0, 0.4, 45.28, -100.0, 89
1642671213, 0, 0, 0.372, 45.286, -100.0, 88
1642671214, 0, 0, 0.34400000000000003, 45.292, -100.0, 87
1642671215, 0, 0, 0.316, 45.298, -100.0, 86
1642671216, 0, 0, 0.28800000000000003, 45.304, -100.0, 85
1642671217, 0, 0, 0.26, 45.31, -100.0, 84
1642671218, 0, 0, 0.262, 45.324000000000005, -100.0, 83
1642671219, 0, 0, 0.264, 45.338, -100.0, 82
1642671220, 0, 0, 0.266, 45.352000000000004, -100.0, 81
1642671221, 0, 0, 0.268, 45.366, -100.0, 80
1642671222, 0, 0, 0.27, 45.38, -100.0, 79
1642671223, 0, 0, 0.272, 45.392, -100.0, 78
1642671224, 0, 0, 0.274, 45.404, -100.0, 77
1642671225, 0, 0, 0.276, 45.416, -100.0, 76
1642671226, 0, 0, 0.278, 45.428, -100.0, 75
1642671227, 0, 0, 0.28, 45.44, -100.0, 74
1642671228, 0, 0, 0.27, 45.449999999999996, -100.0, 73
