time_stamp, motor, fan, vibrations, temperature, temperature_pir, predicted_time
1633503339, 0, 0, 4.7, 30.06, -100.0, 29
1633503340, 0, 0, 3.215, 30.06, -100.0, 28
1633503341, 0, 0, 1.73, 30.06, -100.0, 27
1633503342, 1.0, 0.0, 3.505, 30.09, -100.0, 26
1633503343, 1.0, 0.0, 5.28, 30.12, -100.0, 25
1633503344, 1.0, 0.0, 4.175, 30.12, -100.0, 24
1633503345, 1.0, 0.0, 3.07, 30.12, -100.0, 23
1633503346, 1.0, 0.0, 2.6399999999999997, 30.12, -100.0, 22
1633503347, 1.0, 0.0, 2.21, 30.155, -100.0, 21
1633503348, 1.0, 0.0, 4.32, 30.19, -100.0, 20
1633503349, 1.0, 0.0, 6.43, 30.19, -100.0, 19
1633503350, 1.0, 0.0, 8.54, 30.19, -100.0, 18
1633503351, 1.0, 0.0, 6.1899999999999995, 30.19, -100.0, 17
1633503352, 1.0, 0.0, 3.84, 30.19, -100.0, 16
1633503353, 1.0, 0.0, 3.2649999999999997, 30.25, -100.0, 15
1633503354, 1.0, 0.0, 2.69, 30.31, -100.0, 14
1633503355, 1.0, 0.0, 2.21, 30.31, -100.0, 13
1633503356, 1.0, 0.0, 1.73, 30.31, -100.0, 12
1633503357, 1.0, 0.0, 1.44, 30.345, -100.0, 11
1633503358, 1.0, 0.0, 1.15, 30.38, -100.0, 10
1633503359, 1.0, 0.0, 2.0149999999999997, 30.38, -100.0, 9
1633503360, 1.0, 0.0, 2.88, 30.38, -100.0, 8
1633503361, 1.0, 0.0, 1.97, 30.38, -100.0, 7
1633503362, 1.0, 0.0, 1.06, 30.38, -100.0, 6
1633503363, 1.0, 0.0, 2.16, 30.41, -100.0, 5
1633503364, 1.0, 0.0, 3.26, 30.44, -100.0, 4
1633503365, 1.0, 0.0, 2.83, 30.44, -100.0, 3
1633503366, 1.0, 0.0, 2.4, 30.44, -100.0, 2
1633503367, 1.0, 0.0, 2.9299999999999997, 30.47, -100.0, 1
1633503368, 1.0, 0.0, 3.46, 30.5, -100.0, 0
