time_stamp, motor, fan, vibrations, temperature, temperature_pir, predicted_time
1642690664, 0, 0, 0, 63.81583333333334, 23.81, -1642690640.19
1642690564, 0, 0, 0.24, 63.82166666666667, 23.81, -1642690540.19
1642690565, 0, 0, 0.22799999999999998, 63.8275, 23.81, -1642690541.19
1642690566, 0, 0, 0.216, 63.833333333333336, 23.81, -1642690542.19
1642690567, 0, 0, 0.204, 63.83916666666667, 23.81, -1642690543.19
1642690568, 0, 0, 0.192, 63.845, 23.81, -1642690544.19
1642690569, 0, 0, 0.18, 63.850833333333334, 23.81, -1642690545.19
1642690570, 0, 0, 0.176, 63.85666666666667, 23.81, -1642690546.19
1642690571, 0, 0, 0.172, 63.862500000000004, 23.81, -1642690547.19
1642690572, 0, 0, 0.168, 63.86833333333334, 23.81, -1642690548.19
1642690573, 0, 0, 0.164, 63.87416666666667, 23.81, -1642690549.19
1642690574, 0, 0, 0.16, 63.88, 23.81, -1642690550.19
1642690575, 0, 0, 0.17, 63.873000000000005, 23.81, -1642690551.19
1642690576, 0, 0, 0.18, 63.866, 23.81, -1642690552.19
1642690577, 0, 0, 0.19, 63.859, 23.81, -1642690553.19
1642690578, 0, 0, 0.2, 63.852000000000004, 23.81, -1642690554.19
1642690579, 0, 0, 0.21, 63.845, 23.81, -1642690555.19
1642690580, 0, 0, 0.22599999999999998, 63.838, 23.81, -1642690556.19
1642690581, 0, 0, 0.242, 63.831, 23.81, -1642690557.19
1642690582, 0, 0, 0.258, 63.824000000000005, 23.81, -1642690558.19
1642690583, 0, 0, 0.27399999999999997, 63.817, 23.81, -1642690559.19
1642690584, 0, 0, 0.29, 63.81, 23.81, -1642690560.19
1642690585, 0, 0, 0.26999999999999996, 63.8128, 23.81, -1642690561.19
1642690586, 0, 0, 0.25, 63.8156, 23.81, -1642690562.19
1642690587, 0, 0, 0.22999999999999998, 63.818400000000004, 23.81, -1642690563.19
1642690588, 0, 0, 0.21, 63.821200000000005, 23.81, -1642690564.19
1642690589, 0, 0, 0.19, 63.824000000000005, 23.81, -1642690565.19
1642690590, 0, 0, 0.194, 63.826800000000006, 23.81, -1642690566.19
1642690591, 0, 0, 0.198, 63.8296, 23.81, -1642690567.19
1642690592, 0, 0, 0.20199999999999999, 63.8324, 23.81, -1642690568.19
1642690593, 0, 0, 0.206, 63.8352, 23.81, -1642690569.19
1642690594, 0, 0, 0.21, 63.838, 23.81, -1642690570.19
1642690595, 0, 0, 0.204, 63.8408, 23.81, -1642690571.19
1642690596, 0, 0, 0.19799999999999998, 63.8436, 23.81, -1642690572.19
1642690597, 0, 0, 0.192, 63.8464, 23.81, -1642690573.19
1642690598, 0, 0, 0.186, 63.8492, 23.81, -1642690574.19
1642690599, 0, 0, 0.18, 63.852000000000004, 23.81, -1642690575.19
1642690600, 0, 0, 0.182, 63.854800000000004, 23.81, -1642690576.19
1642690601, 0, 0, 0.184, 63.857600000000005, 23.81, -1642690577.19
1642690602, 0, 0, 0.186, 63.860400000000006, 23.81, -1642690578.19
1642690603, 0, 0, 0.188, 63.8632, 23.81, -1642690579.19
1642690604, 0, 0, 0.19, 63.866, 23.81, -1642690580.19
1642690605, 0, 0, 0.196, 63.8688, 23.81, -1642690581.19
1642690606, 0, 0, 0.202, 63.8716, 23.81, -1642690582.19
1642690607, 0, 0, 0.20800000000000002, 63.8744, 23.81, -1642690583.19
1642690608, 0, 0, 0.214, 63.8772, 23.81, -1642690584.19
1642690609, 0, 0, 0.22, 63.88, 23.81, -1642690585.19
1642690610, 0, 0, 0.224, 63.87533333333334, 23.81, -1642690586.19
1642690611, 0, 0, 0.228, 63.87066666666667, 23.81, -1642690587.19
1642690612, 0, 0, 0.23199999999999998, 63.866, 23.81, -1642690588.19
1642690613, 0, 0, 0.236, 63.861333333333334, 23.81, -1642690589.19
1642690614, 0, 0, 0.24, 63.85666666666667, 23.81, -1642690590.19
1642690615, 0, 0, 0.23399999999999999, 63.852000000000004, 23.81, -1642690591.19
1642690616, 0, 0, 0.22799999999999998, 63.84733333333334, 23.81, -1642690592.19
1642690617, 0, 0, 0.22199999999999998, 63.842666666666666, 23.81, -1642690593.19
1642690618, 0, 0, 0.216, 63.838, 23.81, -1642690594.19
1642690619, 0, 0, 0.21, 63.833333333333336, 23.81, -1642690595.19
1642690620, 0, 0, 0.216, 63.82866666666667, 23.81, -1642690596.19
1642690621, 0, 0, 0.222, 63.824000000000005, 23.81, -1642690597.19
1642690622, 0, 0, 0.22799999999999998, 63.81933333333333, 23.81, -1642690598.19
1642690623, 0, 0, 0.23399999999999999, 63.81466666666667, 23.81, -1642690599.19
1642690624, 0, 0, 0.24, 63.81, 23.81, -1642690600.19
1642690625, 0, 0, 0.22, 63.812000000000005, 23.81, -1642690601.19
1642690626, 0, 0, 0.2, 63.814, 23.81, -1642690602.19
1642690627, 0, 0, 0.18, 63.816, 23.81, -1642690603.19
1642690628, 0, 0, 0.16, 63.818000000000005, 23.81, -1642690604.19
1642690629, 0, 0, 0.14, 63.82, 23.81, -1642690605.19
1642690630, 0, 0, 0.15200000000000002, 63.822, 23.81, -1642690606.19
1642690631, 0, 0, 0.164, 63.824000000000005, 23.81, -1642690607.19
1642690632, 0, 0, 0.17600000000000002, 63.826, 23.81, -1642690608.19
1642690633, 0, 0, 0.188, 63.828, 23.81, -1642690609.19
1642690634, 0, 0, 0.2, 63.830000000000005, 23.81, -1642690610.19
1642690635, 0, 0, 0.20800000000000002, 63.832, 23.81, -1642690611.19
1642690636, 0, 0, 0.216, 63.834, 23.81, -1642690612.19
1642690637, 0, 0, 0.224, 63.836000000000006, 23.81, -1642690613.19
1642690638, 0, 0, 0.23199999999999998, 63.838, 23.81, -1642690614.19
1642690639, 0, 0, 0.24, 63.84, 23.81, -1642690615.19
1642690640, 0, 0, 0.238, 63.842000000000006, 23.81, -1642690616.19
1642690641, 0, 0, 0.236, 63.844, 23.81, -1642690617.19
1642690642, 0, 0, 0.23399999999999999, 63.846000000000004, 23.81, -1642690618.19
1642690643, 0, 0, 0.23199999999999998, 63.848, 23.81, -1642690619.19
1642690644, 0, 0, 0.22999999999999998, 63.85, 23.81, -1642690620.19
1642690645, 0, 0, 0.228, 63.852000000000004, 23.81, -1642690621.19
1642690646, 0, 0, 0.226, 63.854, 23.81, -1642690622.19
1642690647, 0, 0, 0.224, 63.856, 23.81, -1642690623.19
1642690648, 0, 0, 0.222, 63.858000000000004, 23.81, -1642690624.19
1642690649, 0, 0, 0.22, 63.86, 23.81, -1642690625.19
1642690650, 0, 0, 0.236, 63.862, 23.81, -1642690626.19
1642690651, 0, 0, 0.252, 63.864000000000004, 23.81, -1642690627.19
1642690652, 0, 0, 0.268, 63.866, 23.81, -1642690628.19
1642690653, 0, 0, 0.284, 63.868, 23.81, -1642690629.19
1642690654, 0, 0, 0.3, 63.870000000000005, 23.81, -1642690630.19
1642690655, 0, 0, 0.288, 63.872, 23.81, -1642690631.19
1642690656, 0, 0, 0.27599999999999997, 63.874, 23.81, -1642690632.19
1642690657, 0, 0, 0.264, 63.876000000000005, 23.81, -1642690633.19
1642690658, 0, 0, 0.252, 63.878, 23.81, -1642690634.19
1642690659, 0, 0, 0.24, 63.88, 23.81, -1642690635.19
