time_stamp, motor, fan, vibrations, temperature, temperature_pir, predicted_time
1642679918, 0, 1, 0, 28.689239130434785, 23.12, 0
1642679818, 0, 1, 0.22, 28.688478260869566, 23.12, -1642679794.88
1642679819, 0, 1, 0.216, 28.68771739130435, 23.12, -1642679795.88
1642679820, 0, 1, 0.212, 28.68695652173913, 23.12, -1642679796.88
1642679821, 0, 1, 0.20800000000000002, 28.686195652173915, 23.12, -1642679797.88
1642679822, 0, 1, 0.20400000000000001, 28.6854347826087, 23.12, -1642679798.88
1642679823, 0, 1, 0.2, 28.68467391304348, 23.12, -1642679799.88
1642679824, 0, 1, 0.20400000000000001, 28.683913043478263, 23.12, -1642679800.88
1642679825, 0, 1, 0.20800000000000002, 28.683152173913044, 23.12, -1642679801.88
1642679826, 0, 1, 0.212, 28.682391304347828, 23.12, -1642679802.88
1642679827, 0, 1, 0.216, 28.68163043478261, 23.12, -1642679803.88
1642679828, 0, 1, 0.22, 28.680869565217392, 23.12, -1642679804.88
1642679829, 0, 1, 0.224, 28.680108695652176, 23.12, -1642679805.88
1642679830, 0, 1, 0.228, 28.679347826086957, 23.12, -1642679806.88
1642679831, 0, 1, 0.23199999999999998, 28.67858695652174, 23.12, -1642679807.88
1642679832, 0, 1, 0.236, 28.67782608695652, 23.12, -1642679808.88
1642679833, 0, 1, 0.24, 28.677065217391306, 23.12, -1642679809.88
1642679834, 0, 1, 0.23399999999999999, 28.67630434782609, 23.12, -1642679810.88
1642679835, 0, 1, 0.22799999999999998, 28.67554347826087, 23.12, -1642679811.88
1642679836, 0, 1, 0.22199999999999998, 28.674782608695654, 23.12, -1642679812.88
1642679837, 0, 1, 0.216, 28.674021739130435, 23.12, -1642679813.88
1642679838, 0, 1, 0.21, 28.67326086956522, 23.12, -1642679814.88
1642679839, 0, 1, 0.216, 28.6725, 23.12, -1642679815.88
1642679840, 0, 1, 0.222, 28.671739130434784, 23.12, -1642679816.88
1642679841, 0, 1, 0.22799999999999998, 28.670978260869568, 23.12, -1642679817.88
1642679842, 0, 1, 0.23399999999999999, 28.670217391304348, 23.12, -1642679818.88
1642679843, 0, 1, 0.24, 28.669456521739132, 23.12, -1642679819.88
1642679844, 0, 1, 0.244, 28.668695652173913, 23.12, -1642679820.88
1642679845, 0, 1, 0.248, 28.667934782608697, 23.12, -1642679821.88
1642679846, 0, 1, 0.252, 28.66717391304348, 23.12, -1642679822.88
1642679847, 0, 1, 0.256, 28.66641304347826, 23.12, -1642679823.88
1642679848, 0, 1, 0.26, 28.665652173913045, 23.12, -1642679824.88
1642679849, 0, 1, 0.252, 28.664891304347826, 23.12, -1642679825.88
1642679850, 0, 1, 0.244, 28.66413043478261, 23.12, -1642679826.88
1642679851, 0, 1, 0.236, 28.663369565217394, 23.12, -1642679827.88
1642679852, 0, 1, 0.228, 28.662608695652175, 23.12, -1642679828.88
1642679853, 0, 1, 0.22, 28.66184782608696, 23.12, -1642679829.88
1642679854, 0, 1, 0.372, 28.66108695652174, 23.12, -1642679830.88
1642679855, 0, 1, 0.524, 28.660326086956523, 23.12, -1642679831.88
1642679856, 0, 1, 0.6759999999999999, 28.659565217391304, 23.12, -1642679832.88
1642679857, 0, 1, 0.828, 28.658804347826088, 23.12, -1642679833.88
1642679858, 0, 1, 0.98, 28.658043478260872, 23.12, -1642679834.88
1642679859, 0, 1, 0.838, 28.657282608695652, 23.12, -1642679835.88
1642679860, 0, 1, 0.696, 28.656521739130437, 23.12, -1642679836.88
1642679861, 0, 1, 0.554, 28.655760869565217, 23.12, -1642679837.88
1642679862, 0, 1, 0.41200000000000003, 28.655, 23.12, -1642679838.88
1642679863, 0, 1, 0.27, 28.654239130434785, 23.12, -1642679839.88
1642679864, 0, 1, 0.28200000000000003, 28.653478260869566, 23.12, -1642679840.88
1642679865, 0, 1, 0.29400000000000004, 28.65271739130435, 23.12, -1642679841.88
1642679866, 0, 1, 0.30600000000000005, 28.65195652173913, 23.12, -1642679842.88
1642679867, 0, 1, 0.318, 28.651195652173914, 23.12, -1642679843.88
1642679868, 0, 1, 0.33, 28.6504347826087, 23.12, -1642679844.88
1642679869, 0, 1, 0.325, 28.64967391304348, 23.12, -1642679845.88
1642679870, 0, 1, 0.32, 28.648913043478263, 23.12, -1642679846.88
1642679871, 0, 1, 0.315, 28.648152173913044, 23.12, -1642679847.88
1642679872, 0, 1, 0.31, 28.647391304347828, 23.12, -1642679848.88
1642679873, 0, 1, 0.305, 28.646630434782608, 23.12, -1642679849.88
1642679874, 0, 1, 0.3, 28.645869565217392, 23.12, -1642679850.88
1642679875, 0, 1, 0.27999999999999997, 28.645108695652176, 23.12, -1642679851.88
1642679876, 0, 1, 0.26, 28.644347826086957, 23.12, -1642679852.88
1642679877, 0, 1, 0.24, 28.64358695652174, 23.12, -1642679853.88
1642679878, 0, 1, 0.22, 28.64282608695652, 23.12, -1642679854.88
1642679879, 0, 1, 0.218, 28.642065217391306, 23.12, -1642679855.88
1642679880, 0, 1, 0.216, 28.64130434782609, 23.12, -1642679856.88
