time_stamp, motor, fan, vibrations, temperature, temperature_pir, predicted_time
1634898784, 0, 0, 0, 34.5, 21.38, 32
1634898785, 0, 0, 2.35, 34.56, 21.38, 31
1634898786, 2.0, 0.0, 4.7, 34.62, 21.38, 30
1634898787, 2.0, 0.0, 6.43, 34.62, 21.38, 29
1634898788, 2.0, 0.0, 8.16, 34.62, 21.38, 28
1634898789, 2.0, 0.0, 5.8100000000000005, 34.685, 21.38, 27
1634898790, 2.0, 0.0, 3.46, 34.75, 21.38, 26
1634898791, 2.0, 0.0, 5.904999999999999, 34.75, 21.38, 25
1634898792, 2.0, 0.0, 8.35, 34.75, 21.38, 24
1634898793, 2.0, 0.0, 8.684999999999999, 34.75, 21.38, 23
1634898794, 2.0, 0.0, 9.02, 34.75, 21.38, 22
1634898795, 2.0, 0.0, 7.725, 34.78, 21.38, 21
1634898796, 2.0, 0.0, 6.43, 34.81, 21.38, 20
1634898797, 2.0, 0.0, 8.399999999999999, 34.81, 21.38, 19
1634898798, 2.0, 0.0, 10.37, 34.81, 21.38, 18
1634898799, 2.0, 0.0, 12.29, 34.845, 21.38, 17
1634898800, 2.0, 0.0, 14.21, 34.88, 21.38, 16
1634898801, 2.0, 0.0, 8.785, 34.88, 21.38, 15
1634898802, 2.0, 0.0, 3.36, 34.88, 21.38, 14
1634898803, 2.0, 0.0, 3.5833333333333335, 34.88, 21.38, 13
1634898804, 2.0, 0.0, 3.8066666666666666, 34.88, 21.38, 12
1634898805, 2.0, 0.0, 4.03, 34.88, 21.38, 11
1634898806, 2.0, 0.0, 4.705, 34.88, 21.38, 10
1634898807, 2.0, 0.0, 5.38, 35.0, 21.38, 9
1634898808, 2.0, 0.0, 6.959999999999999, 35.0, 21.38, 8
1634898809, 2.0, 0.0, 8.54, 35.0, 21.38, 7
1634898810, 2.0, 0.0, 7.1, 35.03, 21.38, 6
1634898811, 2.0, 0.0, 5.66, 35.06, 21.38, 5
1634898812, 2.0, 0.0, 5.470000000000001, 35.06, 21.38, 4
1634898813, 2.0, 0.0, 5.28, 35.06, 21.38, 3
1634898814, 2.0, 0.0, 9.934999999999999, 35.06, 21.38, 2
1634898815, 2.0, 0.0, 14.59, 35.06, 21.38, 1
1634898816, 2.0, 1.0, 11.71, 35.12, 21.38, 0
1634898817, 2.0, 1.0, 8.83, 35.12, 21.38, 54
1634898818, 2.0, 1.0, 9.745000000000001, 35.12, 21.38, 53
1634898819, 2.0, 1.0, 10.66, 35.12, 21.38, 52
1634898820, 2.0, 1.0, 8.115, 35.155, 21.38, 51
1634898821, 2.0, 1.0, 5.57, 35.19, 21.38, 50
1634898822, 2.0, 1.0, 5.235, 35.19, 21.38, 49
1634898823, 2.0, 1.0, 4.9, 35.19, 21.38, 48
1634898824, 2.0, 1.0, 6.675, 35.19, 21.38, 47
1634898825, 2.0, 1.0, 8.45, 35.19, 21.38, 46
1634898826, 2.0, 1.0, 8.209999999999999, 35.12, 21.38, 45
1634898827, 2.0, 1.0, 7.97, 35.12, 21.38, 44
1634898828, 2.0, 1.0, 6.915, 35.12, 21.38, 43
1634898829, 2.0, 1.0, 5.86, 35.12, 21.38, 42
1634898830, 2.0, 1.0, 8.69, 35.03, 21.38, 41
1634898831, 2.0, 1.0, 11.52, 34.94, 21.38, 40
1634898832, 2.0, 1.0, 8.21, 34.94, 21.38, 39
1634898833, 2.0, 1.0, 4.9, 34.94, 21.38, 38
1634898834, 2.0, 1.0, 6.34, 34.94, 21.38, 37
1634898835, 2.0, 1.0, 7.78, 34.94, 21.38, 36
1634898836, 2.0, 1.0, 7.970000000000001, 34.875, 21.38, 35
1634898837, 2.0, 1.0, 8.16, 34.81, 21.38, 34
1634898838, 2.0, 1.0, 6.720000000000001, 34.81, 21.38, 33
1634898839, 2.0, 1.0, 5.28, 34.81, 21.38, 32
1634898840, 2.0, 1.0, 6.145, 34.75, 21.38, 31
1634898841, 2.0, 1.0, 7.01, 34.69, 21.38, 30
1634898842, 2.0, 1.0, 6.72, 34.69, 21.38, 29
1634898843, 2.0, 1.0, 6.43, 34.69, 21.38, 28
1634898844, 2.0, 1.0, 8.015, 34.69, 21.38, 27
1634898845, 2.0, 1.0, 9.6, 34.69, 21.38, 26
1634898846, 2.0, 1.0, 9.886666666666667, 34.69, 21.38, 25
1634898847, 2.0, 1.0, 10.173333333333334, 34.595, 21.38, 24
1634898848, 2.0, 1.0, 10.46, 34.5, 21.38, 23
1634898849, 2.0, 1.0, 6.62, 34.5, 21.38, 22
1634898850, 2.0, 1.0, 2.78, 34.5, 21.38, 21
1634898851, 2.0, 1.0, 3.165, 34.44, 21.38, 20
1634898852, 2.0, 1.0, 3.55, 34.38, 21.38, 19
1634898853, 2.0, 1.0, 4.08, 34.38, 21.38, 18
1634898854, 2.0, 1.0, 4.61, 34.38, 21.38, 17
1634898855, 2.0, 1.0, 4.945, 34.38, 21.38, 16
1634898856, 2.0, 1.0, 5.28, 34.38, 21.38, 15
1634898857, 2.0, 1.0, 7.73, 34.3325, 21.38, 14
1634898858, 2.0, 1.0, 10.18, 34.285, 21.38, 13
1634898859, 2.0, 1.0, 7.824999999999999, 34.2375, 21.38, 12
1634898860, 2.0, 1.0, 5.47, 34.19, 21.38, 11
1634898861, 2.0, 1.0, 5.135, 34.125, 21.38, 10
1634898862, 2.0, 1.0, 4.8, 34.06, 21.38, 9
1634898863, 2.0, 1.0, 5.33, 34.06, 21.38, 8
1634898864, 2.0, 1.0, 5.86, 34.06, 21.38, 7
1634898865, 2.0, 1.0, 5.86, 34.06, 21.38, 6
1634898866, 2.0, 1.0, 5.86, 34.06, 21.38, 5
1634898867, 2.0, 1.0, 6.34, 33.97, 21.38, 4
1634898868, 2.0, 1.0, 6.82, 33.88, 21.38, 3
1634898869, 2.0, 1.0, 5.62, 33.88, 21.38, 2
1634898870, 2.0, 1.0, 4.42, 33.88, 21.38, 1
1634898871, 2.0, 0.0, 4.85, 33.815, 21.38, 0
1634898872, 2.0, 0.0, 5.28, 33.75, 21.38, 58
1634898873, 2.0, 0.0, 5.855, 33.75, 21.38, 57
1634898874, 2.0, 0.0, 6.43, 33.75, 21.38, 56
1634898875, 2.0, 0.0, 6.145, 33.75, 21.38, 55
1634898876, 2.0, 0.0, 5.86, 33.75, 21.38, 54
