time_stamp, motor, fan, vibrations, temperature, temperature_pir, predicted_time
1644943388, 5, 1, 0, 34.0, 24.69, 0
1644943389, 5, 1, 19.39, 34.019, 24.69, -1644943364.31
1644943390, 5, 1, 20.135, 34.038, 24.69, -1644943365.31
1644943391, 5, 1, 20.880000000000003, 34.057, 24.69, -1644943366.31
1644943392, 5, 1, 21.625, 34.076, 24.69, -1644943367.31
1644943393, 5, 1, 22.37, 34.095, 24.69, -1644943368.31
1644943394, 5, 1, 23.310000000000002, 34.114, 24.69, -1644943369.31
1644943395, 5, 1, 24.25, 34.132999999999996, 24.69, -1644943370.31
1644943396, 5, 1, 25.19, 34.152, 24.69, -1644943371.31
1644943397, 5, 1, 26.13, 34.171, 24.69, -1644943372.31
1644943398, 5, 1, 27.07, 34.19, 24.69, -1644943373.31
1644943399, 5, 1, 27.148, 34.196, 24.69, -1644943374.31
1644943400, 5, 1, 27.226, 34.202, 24.69, -1644943375.31
1644943401, 5, 1, 27.304000000000002, 34.208, 24.69, -1644943376.31
1644943402, 5, 1, 27.382, 34.214, 24.69, -1644943377.31
1644943403, 5, 1, 27.46, 34.22, 24.69, -1644943378.31
1644943404, 5, 1, 26.71, 34.226, 24.69, -1644943379.31
1644943405, 5, 1, 25.96, 34.232, 24.69, -1644943380.31
1644943406, 5, 1, 25.21, 34.238, 24.69, -1644943381.31
1644943407, 5, 1, 24.46, 34.244, 24.69, -1644943382.31
1644943408, 5, 1, 23.71, 34.25, 24.69, -1644943383.31
1644943409, 5, 1, 21.676000000000002, 34.276, 24.69, -1644943384.31
1644943410, 5, 1, 19.642, 34.302, 24.69, -1644943385.31
1644943411, 5, 1, 17.608, 34.328, 24.69, -1644943386.31
1644943412, 5, 1, 15.574, 34.354, 24.69, -1644943387.31
1644943413, 5, 1, 13.54, 34.38, 24.69, -1644943388.31
1644943414, 5, 1, 16.169999999999998, 34.392, 24.69, -1644943389.31
1644943415, 5, 1, 18.8, 34.404, 24.69, -1644943390.31
